,,,,,,,,,,,,,,<- Call Option,,,Put Option ->,,,,,,,,,,,,,,
3358,1,0,0.0001,-0.073,0.028,2.87,2.58,48,449,0.1,18.29,,18.45,20.85,SPY 01-Dec-25,665,19.2,0.04,,0.05,19.66,248,1988,6245,-0.0142,0.0042,0.0199,-0.0999,-0.0004,2.87,-0.18
1881,1,0,0.0001,-0.0731,0.028,2.915,2.55,17,37,0.1,17.3,,17.45,19.87,SPY 01-Dec-25,666,18.79,0.05,,0.06,19.21,163,1494,1389,-0.0174,0.0051,0.0199,-0.1166,-0.0005,2.915,-0.2
879,1,0,0.0001,-0.0733,0.028,2.47,2.525,30,88,0.1,16.31,,16.46,19.29,SPY 01-Dec-25,667,17.84,0.05,,0.06,18.33,208,1416,1449,-0.0184,0.0056,0.0199,-0.1163,-0.0005,2.47,-0.24
1670,0.9999,0.0001,0.0003,-0.0735,0.0281,2.395,2.49,31,128,0.1,15.32,,15.47,18.67,SPY 01-Dec-25,668,17.4,0.06,,0.07,17.88,276,3492,1788,-0.022,0.0067,0.0248,-0.1323,-0.0006,2.395,-0.27
1254,0.9999,0.0001,0.0006,-0.0741,0.0281,2.52,2.455,24,55,0.1,14.33,,14.51,18.7,SPY 01-Dec-25,669,17.33,0.08,,0.09,17.53,233,2546,1650,-0.0281,0.0084,0.037,-0.1608,-0.0008,2.52,-0.305
2211,0.9996,0.0004,0.0013,-0.0754,0.0282,2.225,2.425,170,468,0.1,13.35,,13.55,18.71,SPY 01-Dec-25,670,16.48,0.09,,0.1,16.76,1036,7515,7525,-0.0321,0.0098,0.0371,-0.1704,-0.0009,2.225,-0.36
1310,0.9788,0.0082,0.0253,-0.175,0.0276,2.15,2.335,82,387,11.24,12.37,,12.52,16.83,SPY 01-Dec-25,671,15.99,0.11,,0.12,16.24,382,2382,1365,-0.0392,0.0119,0.0371,-0.1944,-0.0011,2.15,-0.41
1648,0.9649,0.0121,0.037,-0.2319,0.0272,1.91,2.29,45,715,12.04,11.39,,11.57,16.75,SPY 01-Dec-25,672,15.46,0.13,,0.14,15.69,403,3523,2154,-0.0465,0.0142,0.0466,-0.2168,-0.0013,1.91,-0.48
815,0.9555,0.0152,0.0431,-0.261,0.027,1.93,2.205,43,116,12.13,10.41,,10.59,15.86,SPY 01-Dec-25,673,15.06,0.16,,0.17,15.17,637,7229,2092,-0.0572,0.0173,0.062,-0.248,-0.0015,1.93,-0.55
1193,0.9441,0.0189,0.0619,-0.2922,0.0267,1.695,2.1,76,294,12.34,9.45,,9.6,14.8,SPY 01-Dec-25,674,14.31,0.19,,0.2,14.44,740,5141,2885,-0.0683,0.0207,0.0621,-0.2688,-0.0019,1.695,-0.64
3102,0.9211,0.0246,0.0621,-0.3565,0.0261,1.425,2.03,198,852,12.1,8.49,,8.69,14.96,SPY 01-Dec-25,675,13.72,0.23,,0.24,13.85,2066,17965,5277,-0.0827,0.0251,0.0624,-0.2992,-0.0023,1.425,-0.745
2066,0.9074,0.0296,0.0866,-0.3778,0.0257,1.485,1.9,115,398,11.72,7.54,,7.72,13.89,SPY 01-Dec-25,676,13.36,0.29,,0.3,13.39,996,6398,2417,-0.1032,0.0306,0.0935,-0.3429,-0.0028,1.485,-0.86
2282,0.8838,0.0365,0.0935,-0.4101,0.0251,1.21,1.74,220,670,11.72,6.63,,6.73,12.6,SPY 01-Dec-25,677,12.69,0.36,,0.37,12.77,1400,15293,1512,-0.1277,0.0372,0.0937,-0.3762,-0.0035,1.21,-1
1857,0.8512,0.0449,0.1011,-0.4613,0.0242,1.065,1.58,385,1252,11.28,5.72,,5.83,12.28,SPY 01-Dec-25,678,12.26,0.45,,0.46,12.34,1657,10807,3326,-0.1585,0.0451,0.1192,-0.4244,-0.0043,1.065,-1.165
2297,0.8104,0.0544,0.1273,-0.5053,0.0231,0.905,1.385,402,1777,10.98,4.85,,4.95,11.64,SPY 01-Dec-25,679,11.63,0.57,,0.59,11.76,2088,15158,1785,-0.1984,0.0542,0.1274,-0.4588,-0.0053,0.905,-1.34
5744,0.7582,0.0649,0.1379,-0.5589,0.0216,0.85,1.21,1838,9458,10.67,4.02,,4.12,11.33,SPY 01-Dec-25,680,11.32,0.74,,0.76,11.44,6217,43980,3844,-0.2493,0.0641,0.1496,-0.5126,-0.0065,0.85,-1.53
4431,0.6953,0.0754,0.1569,-0.5876,0.0198,0.75,1.005,3981,20600,10.27,3.24,,3.34,10.82,SPY 01-Dec-25,681,10.8,0.96,,0.98,10.89,5240,36606,1746,-0.3109,0.0742,0.157,-0.5348,-0.0081,0.75,-1.735
3589,0.6197,0.0843,0.1743,-0.6215,0.0177,0.625,0.805,10123,54556,10.14,2.55,,2.63,10.53,SPY 01-Dec-25,682,10.5,1.25,,1.26,10.51,7754,59781,1178,-0.3841,0.0835,0.1744,-0.5605,-0.0096,0.625,-1.94
2793,0.5345,0.0911,0.1753,-0.6184,0.0153,0.575,0.595,10332,60156,9.92,1.94,,1.97,10.02,SPY 01-Dec-25,683,10.16,1.62,,1.64,10.23,3362,32152,206,-0.4685,0.0898,0.1753,-0.5613,-0.0116,0.575,-2.14
2218,0.4427,0.093,0.1764,-0.5863,0.0127,0.385,0.41,5240,31251,9.62,1.41,,1.43,9.68,SPY 01-Dec-25,684,9.8,2.08,,2.11,9.91,727,5956,112,-0.5593,0.0919,0.1761,-0.5289,-0.0133,0.385,-2.325
4705,0.3491,0.0896,0.1607,-0.5319,0.01,0.37,0.25,6412,41226,9.35,0.97,,0.99,9.44,SPY 01-Dec-25,685,9.42,2.62,,2.67,9.65,532,4275,1231,-0.6533,0.0897,0.1601,-0.4721,-0.0148,0.37,-2.5
3037,0.2614,0.0801,0.1475,-0.4616,0.0075,0.28,0.13,2307,13633,9.23,0.64,,0.66,9.35,SPY 01-Dec-25,686,9.13,3.27,,3.34,9.54,79,444,126,-0.7437,0.0813,0.1457,-0.3971,-0.0153,0.28,-2.665
1870,0.1846,0.0666,0.1334,-0.3702,0.0053,0.49,0.05,1855,9754,9.08,0.4,,0.42,9.21,SPY 01-Dec-25,687,8.93,4.03,,4.11,9.42,119,1079,25,-0.8226,0.0683,0.1296,-0.3058,-0.0154,0.49,-2.73
1856,0.1226,0.0513,0.0994,-0.2737,0.0035,-0.295,0,3040,15862,8.96,0.24,,0.25,9,SPY 01-Dec-25,688,8.76,4.88,,4.98,9.64,93,328,10,-0.8807,0.0538,0.0952,-0.2247,-0.0146,-0.295,-2.86
1934,0.0787,0.0371,0.0668,-0.1961,0.0023,-0.345,-0.02,2290,16497,8.89,0.14,,0.15,9.02,SPY 01-Dec-25,689,0.1,5.42,,5.89,9.97,59,319,4,-1,0,0,0,0,-0.345,-3.08
10493,0.0453,0.0244,0.047,-0.1248,0.0013,-0.53,-0.04,1396,14222,8.74,0.07,,0.08,8.91,SPY 01-Dec-25,690,0.1,6.71,,6.85,10.52,55,367,37,-1,0,0,0,0,-0.53,-2.955
1395,0.0274,0.0159,0.0384,-0.085,0.0008,-0.535,-0.04,333,3325,8.82,0.04,,0.05,9.27,SPY 01-Dec-25,691,0.1,7.15,,8.19,16.01,20,85,0,-1,0.0026,0.0036,0,0,-0.535,-3.085
2335,0.0214,0.012,0.0271,-0.0727,0.0006,-0.26,-0.03,292,4359,9.42,0.03,,0.04,9.81,SPY 01-Dec-25,692,0.1,8,,10.01,24.53,5,5,0,-0.9534,0.022,0.0553,-0.1407,-0.011,-0.26,-2.75
1521,0.0147,0.0084,0.0219,-0.0552,0.0004,-0.195,-0.03,152,1650,9.76,0.02,,0.03,10.33,SPY 01-Dec-25,693,0.1,8,,11.01,26.15,3,83,2,-0.9596,0.0187,0.0416,-0.1328,-0.0106,-0.195,-3.25
421,0.0127,0.0069,0.0218,-0.0527,0.0004,0.215,-0.02,66,562,10.55,0.02,,0.03,11.18,SPY 01-Dec-25,694,0.1,9,,12.01,27.78,3,3,0,-0.9651,0.0159,0.0349,-0.1244,-0.0104,0.215,-3.25
5071,0.0076,0.0044,0.0106,-0.0332,0.0002,-0.13,-0.02,149,4008,10.28,0.01,,0.02,11.4,SPY 01-Dec-25,695,0.1,11,,13.01,29.4,19,23,0,-0.9699,0.0136,0.0341,-0.1155,-0.0099,-0.13,-2.75
1386,0.0074,0.0039,0.0106,-0.0349,0.0002,0.2,-0.02,81,1844,11.18,0.01,,0.02,12.24,SPY 01-Dec-25,696,0.1,11.24,,14.01,31.02,0,0,1,-0.9742,0.0117,0.0331,-0.106,-0.0092,0.2,-3.13
630,0.0064,0.0033,0.0106,-0.0325,0.0002,0.83,-0.01,66,835,11.67,0.01,,0.02,13.15,SPY 01-Dec-25,697,0.1,11.99,,15.01,32.63,0,0,0,-0.978,0.0099,0.0319,-0.0955,-0.0082,0.83,-3.24
719,0.0069,0.0032,0.0105,-0.0376,0.0002,1.225,-0.01,10,164,12.84,0.01,,0.02,14.02,SPY 01-Dec-25,698,0.1,12.99,,16.01,34.03,0,0,1,-0.9812,0.0088,0.0264,-0.088,-0.0077,1.225,-3.225
360,0.007,0.0031,0.0105,-0.0408,0.0002,1.39,-0.01,7,23,13.89,0.01,,0.02,14.83,SPY 01-Dec-25,699,0.1,13.99,,17.01,35.42,0,0,0,-0.9835,0.0078,0.0196,-0.0819,-0.0077,1.39,-3.225
6157,0.0071,0.0029,0.0105,-0.0435,0.0002,1.98,-0.01,53,710,14.9,0.01,,0.02,15.65,SPY 01-Dec-25,700,0.1,14.99,,18.01,36.78,12,21,12,-0.9857,0.0069,0.0164,-0.0751,-0.0071,1.98,-3.225
242,0.0057,0.0023,0.0105,-0.0374,0.0002,1.805,-0.01,0,0,15.29,0.01,,0.02,16.32,SPY 01-Dec-25,701,0.1,15.99,,19.01,38.14,0,0,0,-0.9876,0.0061,0.0158,-0.0675,-0.0069,1.805,-3.22
118,0.006,0.0023,0.0105,-0.0411,0.0002,2.175,-0.01,4,207,16.52,0.01,,0.02,17,SPY 01-Dec-25,702,0.1,16.99,,20.01,39.49,0,0,0,-0.9894,0.0054,0.0153,-0.0587,-0.0061,2.175,-3.225
2396,0.0049,0.0019,0.0098,-0.0355,0.0001,2.08,-0.01,3,7,16.41,0.01,,0.02,18.09,SPY 01-Dec-25,703,0.1,18.25,,21.01,40.84,0,0,0,-0.9911,0.0047,0.0146,-0.0481,-0.0052,2.08,-3.095
187,0.0052,0.0019,0.0105,-0.0402,0.0002,2.55,-0.01,0,0,17.7,0.01,,0.02,18.9,SPY 01-Dec-25,704,0.1,18.99,,22.01,42.19,0,0,0,-0.9928,0.004,0.0135,-0.0423,-0.0042,2.55,-3.225
708,0.0053,0.0018,0.0105,-0.0425,0.0002,2.865,-0.01,8,101,18.68,0.01,,0.02,19.69,SPY 01-Dec-25,705,0.1,19.99,,23.01,43.54,0,0,0,-0.9943,0.0034,0.0122,-0.0379,-0.0042,2.865,-3.225
608,0.0047,0.0016,0.009,-0.0392,0.0001,3.795,0,12,226,19.09,0.01,,0.02,20.34,SPY 01-Dec-25,706,0.1,20.99,,24.01,44.88,0,0,0,-0.9949,0.0031,0.0097,-0.0361,-0.004,3.795,-3.225
1333,0.0045,0.0015,0.008,-0.0389,0.0001,3.985,0,7,143,19.64,0.01,,0.02,21.18,SPY 01-Dec-25,707,0.1,21.99,,25.01,46.23,0,0,0,-0.9955,0.0029,0.0076,-0.0343,-0.0038,3.985,-3.225
1599,0.0046,0.0014,0.0084,-0.0415,0.0001,4.475,0,0,0,20.66,0.01,,0.02,22.02,SPY 01-Dec-25,708,0.1,22.99,,26.01,47.57,0,0,0,-0.996,0.0026,0.0056,-0.0319,-0.0037,4.475,-3.225
843,0.0045,0.0014,0.008,-0.0426,0.0001,4.87,0,1,1,21.62,0.01,,0.02,22.65,SPY 01-Dec-25,709,0.1,23.99,,27.01,48.91,0,0,0,-0.9964,0.0024,0.0053,-0.0295,-0.0037,4.87,-3.225
751,0.0049,0.0014,0.0098,-0.0481,0.0001,5.315,0,29,737,22.54,0.01,,0.02,24.06,SPY 01-Dec-25,710,0.1,24.99,,28.01,50.25,0,0,0,-0.9969,0.0021,0.0052,-0.0272,-0.0035,5.315,-3.195
308,0,0,0,0,0,-7.76,-0.01,18,272,0.1,0,,0.01,25.45,SPY 01-Dec-25,715,0.1,29.99,,33.01,56.89,0,0,0,-0.9985,0.0011,0.0043,-0.0001,0,-7.76,-3.225
36,0,0,0,0,0,-8.72,-0.01,6,24,0.1,0,,0.01,28.84,SPY 01-Dec-25,720,0.1,34.99,,38.41,67.56,0,0,0,-0.996,0.0015,0.006,-0.0433,-0.0042,-8.72,-2.905
100,0,0,0,0,0,-9.545,-0.01,1,1,0.1,0,,0.01,32.45,SPY 01-Dec-25,725,0.1,39.99,,43.41,74.1,0,0,0,-0.9975,0.0011,0.0052,-0.0329,-0.0038,-9.545,-2.905
334,0,0,0,0,0,-10.2,-0.01,0,0,0.1,0,,0.01,35.61,SPY 01-Dec-25,730,0.1,45.41,,48.38,80.06,0,0,0,-0.9988,0.0006,0.0035,-0.0047,-0.0014,-10.2,-2.71
455,0,0,0,0,0,5.11,0,4,5,0.1,0,,0.01,39.66,SPY 01-Dec-25,735,0.1,50.41,,53.38,85.59,0,0,0,-0.9993,0.0004,0.0009,0,0,5.11,-2.73
402,0,0,0,0,0,4.97,0,0,0,0.1,0,,0.01,41.75,SPY 01-Dec-25,740,0.1,55.41,,58.38,91.09,0,0,0,-0.9997,0.0003,0,0,0,4.97,-2.71
424,0,0,0,0,0,5.645,0,2,8,0.1,0,,0.01,44.99,SPY 01-Dec-25,745,0.1,60.41,,63.38,96.54,0,0,0,-1,0.0001,0,0,0,5.645,-2.71
576,0,0,0,0,0,5.79,0,0,0,0.1,0,,0.01,47.92,SPY 01-Dec-25,750,0.1,65.41,,68.38,101.95,0,0,0,-1,0.0001,0,0,0,5.79,-2.71
459,0,0,0,0,0,6.1,0,0,0,0.1,0,,0.01,51.46,SPY 01-Dec-25,755,0.1,70.41,,73.04,102.27,0,0,0,-1,0,0,0,0,6.1,-2.88
317,0,0,0,0,0,7.215,0,0,0,0.1,0,,0.01,54.67,SPY 01-Dec-25,760,0.1,75.41,,78.38,112.67,0,0,0,-1,0,0,0,0,7.215,-2.715
574,0,0,0,0,0,6.735,0,0,0,0.1,0,,0.01,57.2,SPY 01-Dec-25,765,0.1,80.41,,83.38,117.98,0,0,0,-1,0,0,0,0,6.735,-2.715
198,0,0,0,0,0,7.645,0,0,0,0.1,0,,0.01,60.58,SPY 01-Dec-25,770,0.1,85.41,,88.38,123.25,0,0,0,-1,0,0,0,0,7.645,-2.735
192,0,0,0,0,0,8.05,0,0,0,0.1,0,,0.01,64.15,SPY 01-Dec-25,775,0.1,90.41,,93.38,128.48,0,0,0,-1,0,0,0,0,8.05,-2.71
294,0,0,0,0,0,9.315,0,0,0,0.1,0,,0.01,67.54,SPY 01-Dec-25,780,0.1,95.41,,98.38,133.68,0,0,0,-1,0,0,0,0,9.315,-2.735
0,0,0,0,0,0,9.06,0,0,0,0.1,0,,0.01,69.87,SPY 01-Dec-25,785,0.1,100.41,,103.38,138.84,0,0,0,-1,0,0,0,0,9.06,-2.73
0,0,0,0,0,0,9.365,0,0,0,0.1,0,,0.01,72.77,SPY 01-Dec-25,790,0.1,105.41,,108.38,143.99,0,0,0,-1,0,0,0,0,9.365,-2.735
572,0,0,0,0,0,10.26,0,5,123,0.1,0,,0.01,76.61,SPY 01-Dec-25,795,0.1,110.41,,113.38,149.09,0,0,0,-1,0,0,0,0,10.26,-2.735
2,0,0,0,0,0,11.265,0,0,0,0.1,0,,0.01,80.46,SPY 01-Dec-25,800,0.1,115.41,,118.04,146.1,0,0,0,-1,0,0,0,0,11.265,-2.905
